obra;uf;data_inicio;data_fim;br;km_inicial;km_final
G002;MG;42186;43719;267;62;98,7
G003;MG;42359;44260;458;97,2;147,2
G004;MG;42359;44183;50;65,5;77
G005;MG;42403;44221;262;0;72,2
G006;MG;42403;42909;452;58,4;91,8
G007;MG;42479;44245;116;609,1;704,2
G008;MG;42740;44199;367;217,6;299,4
G009;MG;42795;44254;367;152,9;217,6
G010;MG;43542;44261;259;0;85
Z093;MG;39238;39964;369;14,4;53,2
Z102;MG;39329;40048;356;212,3;264,3
Z109;MG;39710;41213;40;320,6;423
Z110;MG;39757;41243;40;0;118,9
Z111;MG;39701;40429;116;702,2;816,7
Z112;MG;39701;41510;40;118,9;224,9
Z113;MG;39776;40504;365;712;796,4
Z114;MG;39776;40504;365;796,4;875,7
Z115;MG;39701;41243;40;224,9;320,6
Z116;MG;39886;40615;482;30;58,9
Z117;MG;39924;41723;367;152,9;217,6
Z123;MG;40059;41368;458;125,9;171,4
Z124;MG;40159;41598;482;206,7;235,7
Z128;MG;40207;41656;452;173,9;224,9
Z133;MG;40445;42244;262;0;72,9
Z134;MG;40472;41191;120;747,5;762,2
Z146;MG;40910;41547;369;14,4;53,2
Z147;MG;41092;42891;369;120,5;177,9
Z148;MG;40910;41629;365;622,4;712
Z149;MG;40891;42909;154;57,3;103,3
Z150;MG;40910;42889;265;532,5;589,1
Z151;MG;40924;41643;364;194,1;277,7
Z152;MG;41002;42801;365;793,4;872,6
Z154;MG;41110;42189;251;857,2;949,8
Z157;MG;41155;41697;153;0;108,1
Z158;MG;41239;43398;365;708,9;793,4
Z161;MG;41264;43453;381;267,5;351,7
Z162;MG;41292;43451;494;34,8;108,4
Z169;MG;41653;43591;381;143,6;255,2
Z170;MG;41697;43883;116;374,1;471,3
Z171;MG;41761;43705;364;72,1;144,1
Z172;MG;41761;43705;364;194,1;277,7
Z173;MG;41761;43705;365;619,8;708,9
Z175;MG;41793;43981;116;471,3;540
Z176;MG;41890;42619;367;152,9;217,6
Z180;MG;42033;42909;494;0;30,2
Z182;MG;42292;43943;461;51,9;118,6
Z183;MG;42345;44287;267;213,6;304
Z184;MG;42381;44197;116;539,8;609,1
Z185;MG;42403;44012;116;207,1;306,5
Z186;MG;42403;42909;460;0;84,3
Z188;MG;42471;43516;259;132,6;172,4
Z189;MG;42888;43982;267;118,7;213,6
Z191;MG;42998;44260;265;603,4;637,5
Z193;MG;43255;44316;352;0;107,9
Z195;MG;43293;44316;146;0;4,9
Z196;MG;43347;44253;452;203,8;299,9
Z197;MG;43347;44022;116;117,3;207,1
Z199;MG;43391;44048;364;0;40,36
Z202;MG;43537;44256;356;28;108
Z205;MG;43599;44256;381;149;264,7
Z207;MG;44160;44183;364;187,5;278,2
Z208;MG;44160;44181;116;374,1;469,8
